count,species
19,Syracosphaera leptolepsis HET
18,Chrysotila carterae HET
18,Scyphosphaera apsteinii HOL
18,Ophiaster minimus HET
17,Tetralithoides quadrilaminata HET
15,Ophiaster macrospinus HET
15,Ophiaster reductus HET
14,Syracosphaera maxima HET
14,Alisphaera ordinata HET
14,Papposphaera sp. type 3 HET
14,Pappomonas vexillata HET
13,Polycrater sp. ladle-like POL
12,Kataspinifera baumannii HET
12,Syracosphaera castellata HET
11,Calyptrosphaera sphaeroidea HET
10,Syracosphaera andruleitii HET
10,Syracosphaera marginiporata HOL
9,Pileolosphaera longistirpes HET
9,Syracosphaera nana HET
9,Poritectolithus poritectus HOL
8,Cyrtosphaera cidaris HET
8,Pappomonas borealis HET
7,Alisphaera quadrilatera HET
7,Papposphaera arctica HET
6,Flosculosphaera calceolariopsis HOL
6,Sphaerocalyptra youngii HOL
6,Syracosphaera sp. Y HET
6,Syracosphaera mediterranea COMB
6,Helladosphaera vavilovii HOL
6,Papposphaera sp. type 4 HET
6,Pontosphaera japonica HET
5,Syracolithus quadriperforatus HOL
5,Syracosphaera florida HET
5,Pappomonas sp. type 4 HET
5,Holococcolithophora kastriensis HOL
4,Holococcolithophora cialdii HOL
4,Syracosphaera orbiculus HOL
4,Papposphaera sp. type 1 HET
4,Solisphaera galbula HET
4,Vexillarius cancellifer HET
4,Acanthoica maxima HET
3,Acanthoica quattrospina COMB
3,Syracosphaera origami HOL
3,Canistrolithus valliformis HET
3,Calciosolenia corselli HET
3,Syracosphaera pulchra COMB
3,Pontosphaera japonica HOL
3,Pontosphaera discopora HET
3,Navilithus altivelum HET
3,Solisphaera turbinella HET
3,Sphaerocalyptra sp. 3 HOL
3,Syracosphaera molischii COMB
3,Sphaerocalyptra sp. 6 HOL
3,Syracolithus bicorium HOL
2,Chrysotila roscoffensis HET
2,Syracosphaera rhombica HET
2,Acanthoica biscayensis HET
2,Placorhombus ziveriae HET
2,Solisphaera emidasia HET
2,Sphaerocalyptra dermitzakii HOL
2,Syracosphaera strigilis COMB
2,Syracosphaera serrata HET
2,Papposphaera thomsenii HET
2,Syracolithus schilleri HOL
2,Syracosphaera arethusae COMB
2,Ceratolithus vidalii HET
2,Ochrosphaera neapolitana HET
2,Hughesius youngii HET
2,Hymenomonas roseola HET
1,Syracosphaera rotaconica HOL
1,Rhabdosphaera xiphos COMB
1,Wigwamma triradiata HET
1,Syracosphaera histrica COMB
1,Vexillarius iaculifer HET
1,Pontosphaera multipora HET
1,Pseudowigwamma scenozonion HET
1,Papposphaera sp. type 2 HET
1,Scyphosphaera porosa HET
1,Umbilicosphaera angustiforamen HET
1,Papposphaera sagittifera HET
1,Balaniger virgulosa HET
1,Solisphaera helianthiformis HET
1,Tergestiella adriatica HET
1,Syracosphaera bannockii COMB
1,Syracosphaera azureaplaneta  HET
1,Pappomonas flabellifera HET
1,Pappomonas sp. type 1 HET
1,Alisphaera unicornis COMB
