Sample,Latitude,Longitude,Depth,Date,Year,Month,Day,Total,Cocoliths pelagicus,Cyclococcolithina leptoporus,Emiliania huxleyi,Emiliania sp.A,Geophyrocapsa ericsonii,Geophyrocapsa oceanica,Geophyrocapsa sp.B,Umbilicosphaera hulburtiana,Umbilicosphaera sibogae var.B,Acanthoica acanthifera,Acanthoica quattrospina,Cyclolithella annulus,Discosphaera tubifera,Rhabdospaera clavigera,Umbellosphaera irregularis,Umbellosphaera tunuis,Umbellosphaera sp.A,Syracosphaera histrica,Syracosphaera mediterranea,Syracosphaera pirus,Syracosphaera pulchra,Syracosphaera pulchroides,Syracosphaera variabilis,Syracosphaera sp.D,Syracosphaera sp.G,Syracosphaera sp.H,Syracosphaera spp.,Calyptrosphaera catillifera,Calyptrosphaera oblonga,Calyptrosphaera sp.A,Corisphaera strigilis,Helladosphaera aurisinae,Homozygosphaera dalmatica,Homozygosphaera quadriperforata,Homozygosphaera triarcha,Homozygosphaera wettsteini,Homozygosphaera sp.B,Homozygosphaera sp.D,Periphyrophora mirabilis,Zygosphaera sp.A
KH-30,50,-155.05,0,23/08/69,1969,8,23,130000,0,,200,,,,,,,0,,,,,,,,0,,,0,,0,0,,,0,,,,,,,,,,,,,
KH-31,49,-154.37,0,27/08/69,1969,8,27,160000,0,,197,,,,,,,0,,,,,,,,3,,,0,,0,0,,,0,,,,,,,,,,,,,
KH-32,48,-154.44,0,28/08/69,1969,8,28,130000,0,,194,,,,,,,0,,,,,,,,1,,,0,,0,2,,,3,,,,,,,,,,,,,
KH-33,47,-154.32,0,28/08/69,1969,8,28,160000,1,,189,,,,,,,0,,,,,,,,1,,,7,,0,0,,,2,,,,,,,,,,,,,
KH-34,46,-154.46,0,28/08/69,1969,8,28,56000,0,,190,,,,,,,0,,,,,,,,4,,,4,,0,0,,,2,,,,,,,,,,,,,
KH-35,45,-154.57,0,29/08/69,1969,8,29,66000,0,,192,,,,,,,1,,,,,,,,0,,,5,,1,0,,,1,,,,,,,,,,,,,
KH-36,44,-155.03,0,29/08/69,1969,8,29,14000,0,,158,,,,,,,1,,,,,,,,0,,,41,,0,0,,,0,,,,,,,,,,,,,
KH-37,43,-155.03,0,30/08/69,1969,8,30,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KH-38,42,-155.06,0,30/08/69,1969,8,30,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KH-39,41,-155.08,0,30/08/69,1969,8,30,11000,0,,200,,,,,,,0,,,,,,,,0,,,0,,0,0,,,0,,,,,,,,,,,,,
KH-40,40,-154.3,0,01/09/69,1969,9,1,4400,,1,152,0,0,1,0,0,0,2,0,,0,29,0,0,0,3,0,0,1,0,,0,0,0,0,0,4,3,0,0,0,0,0,0,4,0,0,0
KH-41,39,-154.55,0,05/09/69,1969,9,5,530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KH-42,38,-154.51,0,05/09/69,1969,9,5,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KH-43,37,-154.55,0,05/09/69,1969,9,5,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KH-44,36,-154.54,0,05/09/69,1969,9,5,1600,,0,111,0,1,0,0,17,0,0,0,,12,25,0,10,0,0,0,0,0,0,,20,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
KH-45,35,-154.57,0,06/09/69,1969,9,6,1600,,0,1,0,0,0,0,1,0,0,0,,0,192,0,3,0,1,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KH-46,34,-154.48,0,07/09/69,1969,9,7,2000,,0,29,0,0,0,1,0,0,5,0,,2,53,0,49,4,1,7,1,4,1,,0,2,0,3,6,1,3,0,5,2,5,2,0,5,3,5,1
KH-47,33,-154.5,0,07/09/69,1969,9,7,1400,,0,25,1,0,0,3,3,1,2,2,,6,83,1,19,0,10,7,1,4,2,,2,3,4,1,2,12,0,0,0,0,0,0,1,0,4,1,0
KH-48,32,-154.53,0,07/09/69,1969,9,7,2000,,0,17,1,0,0,2,1,0,1,0,,30,66,0,9,0,4,5,0,9,4,,0,4,0,12,1,11,3,1,4,0,2,0,2,2,3,4,2
KH-49,31,-154.48,0,07/09/69,1969,9,7,620,,0,6,2,0,0,0,1,0,1,2,,78,57,1,18,0,1,4,0,9,2,,0,0,0,1,2,8,0,0,1,0,1,0,1,0,0,3,1
KH-50,30,-155.01,0,08/09/69,1969,9,8,810,,,0,0,,0,,0,,0,3,0,81,50,28,17,0,1,1,,6,0,,0,0,0,,,9,,,,,,,2,1,,1,0
KH-51,29,-155.03,0,09/09/69,1969,9,9,930,,,0,0,,0,,0,,0,0,0,8,56,89,34,0,1,4,,6,0,,0,0,1,,,1,,,,,,,0,0,,0,0
KH-52,28,-154.58,0,09/09/69,1969,9,9,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KH-53,27,-154.58,0,09/09/69,1969,9,9,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KH-54,26,-154.58,0,09/09/69,1969,9,9,3700,,,0,1,,0,,0,,0,0,0,18,5,138,19,0,0,2,,3,1,,0,1,0,,,11,,,,,,,0,0,,0,1
KH-55,25,-154.58,0,10/09/69,1969,9,10,2800,,,2,11,,0,,1,,0,1,0,44,10,96,16,2,0,0,,6,1,,0,1,0,,,7,,,,,,,0,1,,1,0
KH-56,24,-154.58,0,11/09/69,1969,9,11,1400,,,0,1,,0,,0,,0,0,0,18,0,145,24,0,0,1,,7,1,,0,0,0,,,2,,,,,,,1,0,,0,0
KH-57,23,-154.53,0,11/09/69,1969,9,11,2500,,,0,6,,0,,0,,0,2,0,11,4,152,20,0,1,0,,2,0,,0,0,0,,,2,,,,,,,0,0,,0,0
KH-58,22,-154.55,0,11/09/69,1969,9,11,1100,,,0,4,,0,,4,,0,0,0,30,8,111,23,2,0,2,,9,0,,1,0,0,,,5,,,,,,,1,0,,0,0
KH-59,21,-155.01,0,12/09/69,1969,9,12,1000,,,5,5,,1,,1,,1,1,1,15,19,127,8,8,0,0,,4,0,,2,0,0,,,2,,,,,,,0,0,,0,0
