species,mean,sd,method,reference
Calcidiscus leptoporus,44.4,48,lab measurement,gafar2019
Cocccolthus pelagicus (braardii),346.8,658.8,lab measurement,gafar2019
Emiliania huxleyi,10.8,22.8,lab measurement,gafar2019
Gephyrocapsa oceanica,21.6,46.8,lab measurement,gafar2019
Calcidiscus leptoporus,159.6,69.6,lab measurement,gafar2019
Calcidiscus leptoporus,58.8,37.2,lab measurement,gafar2019
Calcidiscus leptoporus,57.6,6,lab measurement,gafar2019
Helicosphaera carteri,151.2,38.4,lab measurement,gafar2019
Helicosphaera carteri,198,52.8,lab measurement,gafar2019
"Chrysotila carterae
",196.8,284.4,lab measurement,gafar2019
Syracosphaera pulchra,130.8,32.4,lab measurement,gafar2019
